Execution time: 0.005756 seconds
Invalid lines: 3

  Number        Binary       Hex
--------  ------------  --------
     -39       -100111       -27
     -36       -100100       -24
       8          1000         8
      34        100010        22
      17         10001        11
      49        110001        31
       5           101         5
     nan           nan       nan
       0             0         0
      33        100001        21
      12          1100         c
      -6          -110        -6
      27         11011        1b
      -4          -100        -4
     -38       -100110       -26
      26         11010        1a
      49        110001        31
      29         11101        1d
      42        101010        2a
     -16        -10000       -10
     nan           nan       nan
      34        100010        22
      20         10100        14
       0             0         0
      25         11001        19
      45        101101        2d
       3            11         3
     -46       -101110       -2e
     -46       -101110       -2e
      29         11101        1d
      33        100001        21
      29         11101        1d
      26         11010        1a
      -5          -101        -5
     -36       -100100       -24
      12          1100         c
      45        101101        2d
     -50       -110010       -32
       0             0         0
      -6          -110        -6
     nan           nan       nan
